"Saved";"Сохрнено"
"Data saved";"Данные сохранены"
"Save";"Сохранить"
"'%value%' is more than %max% characters long";"Длина '%value%' не должна быть больше чем %max% символов"
"'%value%' is less than %min% characters long";"Длина '%value% не должна быть менее %min% символов"
"Invalid type given. String expected";"Неверный тип данных, требуются данные типа string"
"Invalid type given. String, integer or float expected";"Неверный тип данных, требуются данные типа string, integer или float"
"'%value%' does not match against pattern '%pattern%'";"Значение '%value%' не соответствует значению паттерна '%pattern%'"
"There was an internal error while using the pattern '%pattern%'";"Произошла внутренняя ошибка при использовании паттерна '%pattern%'"
"Invalid type given. String or integer expected";"Неверный тип данных, требуются данные типа string или integer"
"'%value%' does not appear to be a postal code";"Формат '%value%' не соответствует формату почтового кода"
"Value is required and can't be empty";"Требуется заполнить данные, они не могут быть пустыми"
"Invalid type given. String, integer, float, boolean or array expected";"Неверный тип данных, требуются данные типа string, integer, float, boolean или array"
"'%value%' is not less than '%max%'";"Длина '%value% не должна быть более %max% символов"
"'%value%' is not a valid ISBN number";"Значение '%value%' не является правильным ISBN номером"
'%value%' does not appear to be a valid IP address;"Формат '%value%' не соответствует формату IP адреса"
"'%value%' does not appear to be an integer";"Формат '%value%' не соответствует типу integer"
"'%value%' was not found in the haystack";"Значение '%value%' не найдено в хэштэге"
"The two given tokens do not match";"Введенные значния не совпадают"
"No token was provided to match against";"Данных для сравнения не существует"
"Unknown country within the IBAN '%value%'";"Неизвестная страна в занчении '%value%' IBAN"
"'%value%' has a false IBAN format";"Значение '%value%' формата IBAN имеет значение false"

"'%value%' has failed the IBAN check";""
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded";""
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position";""
"'%value%' does not match the expected structure for a DNS hostname";""
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'";""
"'%value%' does not appear to be a valid local network name";""
"'%value%' does not appear to be a valid URI hostname";""
"'%value%' appears to be an IP address, but IP addresses are not allowed";""
"'%value%' appears to be a local network name but local network names are not allowed";""
"'%value%' appears to be a DNS hostname but cannot extract TLD part";""
"'%value%' appears to be a DNS hostname but cannot match TLD against known list";""
"'%value%' has not only hexadecimal digit characters";""
"'%value%' is not greater than '%min%'";""
"'%value%' does not appear to be a float";""
"'%value%' is not a valid email address in the basic format local-part@hostname";""
"'%hostname%' is not a valid hostname for email address '%value%'";""
"'%hostname%' does not appear to have a valid MX record for the email address '%value%'";""
"'%hostname%' is not in a routable network segment. The email address '%value%' should not be resolved from public network";""
"'%localPart%' can not be matched against dot-atom format";""
"'%localPart%' can not be matched against quoted-string format";""
"'%localPart%' is not a valid local part for email address '%value%'";""
"'%value%' exceeds the allowed length";""
"'%value%' must contain only digits";""
"'%value%' is an empty string";""
"Invalid type given. String, integer or float expected";""
"Invalid type given. String, integer, array or Zend_Date expected";""
"'%value%' does not appear to be a valid date";""
"'%value%' does not fit the date format '%format%'";""
"'%value%' seems to contain an invalid checksum";""
"'%value%' must contain only digits";""
"'%value%' contains an invalid amount of digits";""
"'%value%' is not from an allowed institute";""
"'%value%' seems to be an invalid creditcard number";""
"An exception has been raised while validating '%value%'";""
"'%value%' must contain between 13 and 19 digits";""
"Luhn algorithm (mod-10 checksum) failed on '%value%'";""
"'%value%' is not valid";""
"An exception has been raised within the callback";""
"'%value%' is not between '%min%' and '%max%', inclusively";""
"'%value%' is not strictly between '%min%' and '%max%'";""
"'%value%' failed checksum validation";""
"'%value%' contains invalid characters";""
"'%value%' should have a length of %length% characters";""
"'%value%' contains non alphabetic characters";""
"'%value%' contains characters which are non alphabetic and no digits";""
"'%value%' is not a valid sitemap priority";""
"Invalid type given. Numeric string, integer or float expected";""
"'%value%' is not a valid sitemap location";""
"'%value%' is not a valid sitemap lastmod";""
"'%value%' is not a valid sitemap changefreq";""
"Too many files, maximum '%max%' are allowed but '%count%' are given";""
"Too few files, minimum '%min%' are expected but '%count%' are given";""
"File '%value%' does not match the given crc32 hashes";""
"A crc32 hash could not be evaluated for the given file";""
"File '%value%' is not readable or does not exist";""
"File '%value%' has a false extension";""
"File '%value%' is not readable or does not exist";""
"File '%value%' does not exist";""
"File '%value%' has a false extension";""
"File '%value%' is not readable or does not exist";""
 "All files in sum should have a maximum size of '%max%' but '%size%' were detected";""
"All files in sum should have a minimum size of '%min%' but '%size%' were detected";""
"One or more files can not be read";""
"File '%value%' does not match the given hashes";""
"A hash could not be evaluated for the given file";""
"File '%value%' is not readable or does not exist";""
"Maximum allowed width for image '%value%' should be '%maxwidth%' but '%width%' detected";""
"Minimum expected width for image '%value%' should be '%minwidth%' but '%width%' detected";""
"Maximum allowed height for image '%value%' should be '%maxheight%' but '%height%' detected";""
"Minimum expected height for image '%value%' should be '%minheight%' but '%height%' detected";""
"The size of image '%value%' could not be detected";""
"File '%value%' is not readable or does not exist";""
"File '%value%' is not compressed, '%type%' detected";""
"The mimetype of file '%value%' could not be detected";""
"File '%value%' is not readable or does not exist";""
"File '%value%' is no image, '%type%' detected";""
"The mimetype of file '%value%' could not be detected";""
"File '%value%' is not readable or does not exist";""
"File '%value%' does not match the given md5 hashes";""
"A md5 hash could not be evaluated for the given file";""
"File '%value%' is not readable or does not exist";""
"File '%value%' has a false mimetype of '%type%'";""
"The mimetype of file '%value%' could not be detected";""
"File '%value%' is not readable or does not exist";""
"File '%value%' exists";""
"File '%value%' does not match the given sha1 hashes";""
"A sha1 hash could not be evaluated for the given file";""
"File '%value%' is not readable or does not exist";""
"Maximum allowed size for file '%value%' is '%max%' but '%size%' detected";""
"Minimum expected size for file '%value%' is '%min%' but '%size%' detected";""
"File '%value%' is not readable or does not exist";""
"File '%value%' exceeds the defined ini size";""
"File '%value%' exceeds the defined form size";""
"File '%value%' was only partially uploaded";""
"File '%value%' was not uploaded";""
"No temporary directory was found for file '%value%'";""
"File '%value%' can't be written";""
"A PHP extension returned an error while uploading the file '%value%'";""
"File '%value%' was illegally uploaded. This could be a possible attack";""
"File '%value%' was not found";""
"Unknown error while uploading file '%value%'";""
"Too much words, maximum '%max%' are allowed but '%count%' were counted";""
"Too less words, minimum '%min%' are expected but '%count%' were counted";""
"File '%value%' is not readable or does not exist";""
"No record matching '%value%' was found";""
"A record matching '%value%' was found";""